,stemmedComment
160,"['kalo', 'dulu', 'menang', 'sudah', 'angkat', 'menteri', 'nih', 'orang']"
161,"['kalo', 'dulu', 'menang', 'sudah', 'angkat', 'menteri', 'nih', 'orang']"
162,"['kalo', 'dulu', 'menang', 'sudah', 'angkat', 'menteri', 'nih', 'orang']"
163,"['bos', 'nya', 'juga', 'sekali', 'sikat', 'toilet']"
164,"['bos', 'nya', 'juga', 'sekali', 'sikat', 'toilet']"
165,"['jadi', 'ingat', 'jaman', 'siapa', 'ya']"
166,"['orang', 'bikin', 'rusak', 'harus', 'musnah']"
167,"['super', 'muantap']"
168,"['bagus', 'ciduk', 'belum', 'kontrak', 'lagi', 'sama', 'tukang', 'fitnah']"
169,"['jelek', 'presiden', 'sama', 'saja', 'hina', 'lambang', 'negara', 'harus', 'pikir', 'apalagi', 'orang', 'redaksi', 'berita', 'yang', 'harus', 'jadi', 'panutan', 'berita']"
170,"['moga', 'betah', 'di', 'hotel', 'prodeo', 'ya', 'bro']"
171,"['baik', 'orang', 'seperti', 'ini', 'lenyap', 'saja']"
172,"['sikat', 'ikat', 'berkas']"
173,"['fitnah', 'karena', 'duit']"
174,"['tolong', 'kubur', 'dalam', 'orang', 'begini']"
175,"['langsung', 'buang', 'saja', 'laut']"
176,"['tunggu', 'siapa', 'yang', 'komen', 'membelanah', 'itu', 'donatur']"
177,"['buniyani', 'bagaimana']"
178,"['kokk', 'lama', 'sekali', 'laku', 'jahat', 'hoax', 'ini', 'baru', 'jeblos', 'ke', 'bui', 'sekarang', 'usut', 'dan', 'tangkap', 'segera', 'laku', 'hoax', 'lain']"
179,"['obor', 'hoax']"
180,"['bravo', 'kejaksaanlumayan', 'ada', 'kerja']"
181,"['mantap', 'hajar', 'sebar', 'hoax']"
182,"['yang', 'di', 'negeri', 'sebrang', 'bagaimana']"
183,"['tahun', 'pantesnya', 'tahun']"
184,"['itu', 'dulu', 'timses', 'siapa', 'ya']"
185,"['masih', 'bisa', 'gaya', 'gaya', 'an', 'lihat', 'baju', 'mereka', 'seperti']"
186,"['mudah', 'an', 'di', 'hukun', 'lebih', 'berat', 'lagi']"
187,"['wkwkwkwkwkw', 'syukur', 'kalian', 'banding', 'soal', 'hukum', 'kalian', 'bakal', 'di', 'tambah', 'jadi', 'tahun', 'nyungsep', 'kalian']"
188,"['sakit', 'jiwa', 'luuu']"
189,"['sakit', 'jiwa', 'lu']"
190,"['kasihan', 'benar', 'mas', 'eko', 'moga', 'dapat', 'jalan', 'keluar']"
191,"['jahat', 'sekali', 'yang', 'nipu']"
192,"['sebutin', 'saja', 'acara']"
193,"['nah', 'mulai', 'kuak', 'biang', 'keladi', 'siap', 'bukti', 'serah', 'surat', 'dan', 'tanda', 'terima', 'uang', 'kasih', 'enggak', 'waktu', 'entu', 'kalo', 'enggak', 'ada', 'bukti', 'jangan', 'kau', 'harap', 'bisa', 'gugat', 'acara', 'ya']"
194,"['moga', 'dapat', 'ganti', 'acara', 'kondang', 'mas', 'yang', 'kemarin', 'itu', 'abal', 'abal', 'punya']"
